role,geo,keyword,translation,rpc,rpcBand,rpcOrClass,pattern,donor,plannerVolume,plannerDeltaPct,status,note,source
перевод под DE,DE,Ballonfinanzierung,кредит с остаточным платежом («баллон»),,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«авто без взноса / в месяц»,"FR «Financement Voiture Sans Apport 2026», «Voiture 99 Euros par Mois Sans Apport 2026» — средний (другие, 7 ключей)",2900,21,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Autokredit mit Schlussrate,автокредит с финальным платежом,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«авто без взноса / в месяц»,"FR «Financement Voiture Sans Apport 2026», «Voiture 99 Euros par Mois Sans Apport 2026» — средний (другие, 7 ключей)",2400,-16,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Günstiger Autokredit,дешёвый автокредит,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«авто без взноса / в месяц»,"FR «Financement Voiture Sans Apport 2026», «Voiture 99 Euros par Mois Sans Apport 2026» — средний (другие, 7 ключей)",3600,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Dispokredit,овердрафт по счёту,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«счёт / овердрафт»,PL «Konto Bankowe Online na Dowód» — высокий (другие); FR «Ouvrir un Compte en Ligne Avec Rib Immédiat» — средний (другие),5400,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Sparkasse Dispo erhöhen,увеличить овердрафт в Sparkasse,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«счёт / овердрафт»,PL «Konto Bankowe Online na Dowód» — высокий (другие); FR «Ouvrir un Compte en Ligne Avec Rib Immédiat» — средний (другие),1900,0,ok,бренд банка — только в статье,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Rahmenkredit,кредитная линия,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«счёт / овердрафт»,PL «Konto Bankowe Online na Dowód» — высокий (другие); FR «Ouvrir un Compte en Ligne Avec Rib Immédiat» — средний (другие),2400,-21,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Girokonto ohne Schufa,текущий счёт без SCHUFA,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«счёт / овердрафт»,PL «Konto Bankowe Online na Dowód» — высокий (другие); FR «Ouvrir un Compte en Ligne Avec Rib Immédiat» — средний (другие),1600,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit für Studenten,кредит для студентов,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«первый кредит / молодые»,PL «Pierwszy Kredyt» — средний (другие),2900,175,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit für Azubis,кредит для учеников (Ausbildung),,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«первый кредит / молодые»,PL «Pierwszy Kredyt» — средний (другие),1900,-19,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit in der Probezeit,кредит на испытательном сроке,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«первый кредит / молодые»,PL «Pierwszy Kredyt» — средний (другие),390,-19,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit für Selbstständige,кредит для самозанятых,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«самозанятые / бизнес»,US «Business Line of Credit Biggerpockets» — средний (другие),2400,-21,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Gründerkredit,кредит для основателя бизнеса,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«самозанятые / бизнес»,US «Business Line of Credit Biggerpockets» — средний (другие),1000,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit für Existenzgründer,кредит для начинающих предпринимателей,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«самозанятые / бизнес»,US «Business Line of Credit Biggerpockets» — средний (другие),720,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit für Selbstständige ohne Schufa,кредит для самозанятых без SCHUFA,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«самозанятые / бизнес»,US «Business Line of Credit Biggerpockets» — средний (другие),390,0,ограничено,Meta: высокий риск — обещание «без проверки / всем» (решает владелец),research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Beamtenkredit,кредит для госслужащих,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«госслужащие»,своего донора нет; паттерн «кредит для группы» — LT «Paskolos Vyresniems Nei 60» $0.297,1600,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit für Beamte,кредит для госслужащих (Beamte),,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«госслужащие»,своего донора нет; паттерн «кредит для группы» — LT «Paskolos Vyresniems Nei 60» $0.297,880,22,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit öffentlicher Dienst,кредит для бюджетников,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«госслужащие»,своего донора нет; паттерн «кредит для группы» — LT «Paskolos Vyresniems Nei 60» $0.297,720,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit aus dem Ausland,кредит из-за границы,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«мигранты / без истории в стране»,своего донора нет; паттерн «без проверки истории» — RO «…Doar Cu Buletinul» $0.210,2900,-17,ok,«Kredit für Ausländer» Planner не вернул; этот ключ — ближайший по смыслу,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Modernisierungskredit,кредит на модернизацию жилья,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«ремонт / энергосбережение»,своего донора нет; паттерн «калькулятор» — HU/PT $0.39–0.46,5400,23,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Renovierungskredit,кредит на ремонт,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«ремонт / энергосбережение»,своего донора нет; паттерн «калькулятор» — HU/PT $0.39–0.46,1600,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Anschlussfinanzierung,рефинансирование ипотеки по окончании фиксации,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«жильё / ипотека / залог»,своего донора нет; паттерн «калькулятор» — HU/PT $0.39–0.46,6600,50,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Baufinanzierung,ипотека на строительство/покупку,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«жильё / ипотека / залог»,своего донора нет; паттерн «калькулятор» — HU/PT $0.39–0.46,18100,22,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Immobilienkredit,кредит на недвижимость,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«жильё / ипотека / залог»,своего донора нет; паттерн «калькулятор» — HU/PT $0.39–0.46,8100,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Kredit für Hauskauf,кредит на покупку дома,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«жильё / ипотека / залог»,своего донора нет; паттерн «калькулятор» — HU/PT $0.39–0.46,3600,0,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Ratenzahlung,оплата в рассрочку,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«рассрочка на покупку»,"PL «Telewizor na Raty Bez Bik», «Iphone na Raty Dla Zadłużonych» — средний (другие)",4400,-18,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,Pfandkredit,кредит под залог вещи (ломбард),,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«под залог вещи (ломбард)»,своего донора нет; паттерн «без проверки» — RO $0.210,590,-19,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под DE,DE,P2P Kredite,кредиты от частных лиц (P2P),,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«частные займы (P2P)»,своего донора нет,2900,26,ok,,research_keywords DE/de 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,same day loans,займы в тот же день,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",18100,0,ограничено,Meta: payday и займы ≤90 дней запрещены (transparency.meta.com) — в крео не обещать срок «до зарплаты»; в UK «same day» часто = HCSTC/payday,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,instant loans,мгновенные займы,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",9900,0,ok,Meta: payday и займы ≤90 дней запрещены (transparency.meta.com) — в крео не обещать срок «до зарплаты»,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,quick loans,быстрые займы,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",18100,0,ok,Meta: payday и займы ≤90 дней запрещены (transparency.meta.com) — в крео не обещать срок «до зарплаты»,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,fast loans,быстрые займы,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",3600,22,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,need money today,нужны деньги сегодня,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",1900,0,ok,Meta: зона Personal hardship (долги/нужда) — домен могут ограничить по событиям,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,need cash fast,срочно нужны наличные,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",880,14,ok,Meta: зона Personal hardship (долги/нужда) — домен могут ограничить по событиям,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,pay day loans,займы до зарплаты,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«быстро / сразу»,"HU «Gyorskölcsön Azonnal» $0.459 (наш, 57 кл.)",110000,0,запрещено,Meta запрещает payday и займы ≤90 дней — не берём,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,remortgage calculator,калькулятор перекредитования ипотеки,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«калькулятор / симулятор / банк»,"HU «Mbh Bank Személyi Kölcsön Kalkulátor» $0.459 (наш, 51 кл.); PT «Simulador de Emprestimo» $0.390 (наш, 24 кл.)",22200,23,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,equity release calculator,калькулятор «equity release» (деньги из стоимости дома),,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«калькулятор / симулятор / банк»,"HU «Mbh Bank Személyi Kölcsön Kalkulátor» $0.459 (наш, 51 кл.); PT «Simulador de Emprestimo» $0.390 (наш, 24 кл.)",5400,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,secured loan calculator,калькулятор займа под залог,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«калькулятор / симулятор / банк»,"HU «Mbh Bank Személyi Kölcsön Kalkulátor» $0.459 (наш, 51 кл.); PT «Simulador de Emprestimo» $0.390 (наш, 24 кл.)",1900,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,loan comparison,сравнение займов,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«калькулятор / симулятор / банк»,"HU «Mbh Bank Személyi Kölcsön Kalkulátor» $0.459 (наш, 51 кл.); PT «Simulador de Emprestimo» $0.390 (наш, 24 кл.)",14800,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,hsbc loan,кредит HSBC,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«калькулятор / симулятор / банк»,"HU «Mbh Bank Személyi Kölcsön Kalkulátor» $0.459 (наш, 51 кл.); PT «Simulador de Emprestimo» $0.390 (наш, 24 кл.)",9900,22,ok,бренд банка — только в статье,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,sainsbury's loan,кредит Sainsbury's Bank,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«калькулятор / симулятор / банк»,"HU «Mbh Bank Személyi Kölcsön Kalkulátor» $0.459 (наш, 51 кл.); PT «Simulador de Emprestimo» $0.390 (наш, 24 кл.)",8100,0,ok,бренд — только в статье,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,small loans,небольшие займы,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«небольшая сумма сразу»,"HU «Kis Összegű Kölcsön Azonnal» $0.386 (наш, 32 кл.); AT «Mini Kredit Österreich» — высокий (другие)",12100,0,ok,Meta: payday и займы ≤90 дней запрещены (transparency.meta.com) — в крео не обещать срок «до зарплаты»,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,1000 loan,заём на 1000,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«небольшая сумма сразу»,"HU «Kis Összegű Kölcsön Azonnal» $0.386 (наш, 32 кл.); AT «Mini Kredit Österreich» — высокий (другие)",6600,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,small instant loans,небольшие мгновенные займы,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«небольшая сумма сразу»,"HU «Kis Összegű Kölcsön Azonnal» $0.386 (наш, 32 кл.); AT «Mini Kredit Österreich» — высокий (другие)",1000,233,ok,Meta: payday и займы ≤90 дней запрещены (transparency.meta.com) — в крео не обещать срок «до зарплаты»,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,equity release,деньги из стоимости дома (55+),,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«60+ / пенсия»,"LT «Paskolos Vyresniems Nei 60» $0.297 (наш, 211 кл.); статья-шаблон «кредит пенсионеру»: AT $0.372 (334 кл., 01.07–23.09), CH-de $2.43 (6 кл., 22–23.09)",14800,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,lifetime mortgage,пожизненная ипотека (55+),,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«60+ / пенсия»,"LT «Paskolos Vyresniems Nei 60» $0.297 (наш, 211 кл.); статья-шаблон «кредит пенсионеру»: AT $0.372 (334 кл., 01.07–23.09), CH-de $2.43 (6 кл., 22–23.09)",4400,-18,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,equity release mortgage,ипотека equity release,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«60+ / пенсия»,"LT «Paskolos Vyresniems Nei 60» $0.297 (наш, 211 кл.); статья-шаблон «кредит пенсионеру»: AT $0.372 (334 кл., 01.07–23.09), CH-de $2.43 (6 кл., 22–23.09)",2400,-21,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,loans for pensioners,займы пенсионерам,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«60+ / пенсия»,"LT «Paskolos Vyresniems Nei 60» $0.297 (наш, 211 кл.); статья-шаблон «кредит пенсионеру»: AT $0.372 (334 кл., 01.07–23.09), CH-de $2.43 (6 кл., 22–23.09)",,,ok,Planner: строки нет (объём не показан); Planner строк не вернул — ключ по донору LT $0.297,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,loans for over 60s,"займы для тех, кому за 60",,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«60+ / пенсия»,"LT «Paskolos Vyresniems Nei 60» $0.297 (наш, 211 кл.); статья-шаблон «кредит пенсионеру»: AT $0.372 (334 кл., 01.07–23.09), CH-de $2.43 (6 кл., 22–23.09)",,,ok,Planner: строки нет (объём не показан); Planner строк не вернул — ключ по донору LT $0.297,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,personal loan,потребительский заём,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«потребкредит / на личные нужды»,RO «Credit de Nevoi Personale» $0.229 и «Credite Nevoi Personale» $0.224 (наши); CH «Privatkredit Schweiz Beantragen» — высокий (другие),49500,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,unsecured personal loan,заём без залога,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«потребкредит / на личные нужды»,RO «Credit de Nevoi Personale» $0.229 и «Credite Nevoi Personale» $0.224 (наши); CH «Privatkredit Schweiz Beantragen» — высокий (другие),2400,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,low interest personal loans,займы под низкий процент,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«потребкредит / на личные нужды»,RO «Credit de Nevoi Personale» $0.229 и «Credite Nevoi Personale» $0.224 (наши); CH «Privatkredit Schweiz Beantragen» — высокий (другие),5400,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,apply for a loan,подать заявку на заём,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«потребкредит / на личные нужды»,RO «Credit de Nevoi Personale» $0.229 и «Credite Nevoi Personale» $0.224 (наши); CH «Privatkredit Schweiz Beantragen» — высокий (другие),6600,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,get a loan,получить заём,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«потребкредит / на личные нужды»,RO «Credit de Nevoi Personale» $0.229 и «Credite Nevoi Personale» $0.224 (наши); CH «Privatkredit Schweiz Beantragen» — высокий (другие),8100,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,borrow money,занять деньги,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«потребкредит / на личные нужды»,RO «Credit de Nevoi Personale» $0.229 и «Credite Nevoi Personale» $0.224 (наши); CH «Privatkredit Schweiz Beantragen» — высокий (другие),6600,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,loans without credit check,займы без проверки кредитной истории,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«без справок / только по паспорту»,"RO «Credite Instant Doar Cu Buletinul» $0.210 (наш, 27 кл.); EE «Väike Laen Ilma Sissetuleku» — средний (другие)",,,запрещено в крео,Planner: строки нет (объём не показан); FCA CONC 3.3.3R: нельзя подразумевать кредит без учёта положения/без проверок; Planner строк не вернул,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,no credit check credit cards instant approval,кредитки без проверки с мгновенным одобрением,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«без справок / только по паспорту»,"RO «Credite Instant Doar Cu Buletinul» $0.210 (наш, 27 кл.); EE «Väike Laen Ilma Sissetuleku» — средний (другие)",2400,21,ограничено,FCA CONC 3.3.3R + Meta: высокий риск — обещание «без проверки / всем» (решает владелец),research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,Credit Card with Instant Use,кредитка с мгновенным использованием,,mid,"класс «средний», без rpc (другие команды)",«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",1300,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,Credit Cards with Instant Use,кредитки с мгновенным использованием,,mid,"класс «средний», без rpc (другие команды)",«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",,,ok,Planner: строки нет (объём не показан),research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,Instant Approval Credit Cards with Instant Use,кредитки с мгновенным одобрением и использованием,,mid,"класс «средний», без rpc (другие команды)",«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",,,ограничено,Planner: строки нет (объём не показан); «instant approval» — CONC 3.3.3R (гарантия одобрения); в крео не обещать,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,Apply for a Credit Card Online,оформить кредитку онлайн,,mid,"класс «средний», без rpc (другие команды)",«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",,,ok,Planner: строки нет (объём не показан),research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,balance transfer credit card,кредитка для переноса долга (balance transfer),,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",49500,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,0 interest credit cards,кредитки с 0%,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",33100,0,ok,«0%» на крео — цифра о стоимости кредита; держать в статье,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,credit builder card,кредитка для построения кредитной истории,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",12100,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,instant credit card,мгновенная кредитка,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",1600,0,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,starter credit cards,стартовые кредитки,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",1600,30,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,student credit cards,студенческие кредитки,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«кредитка с лимитом / рассрочкой»,"DE/AT/CH кредитки — высокий (другие): «Kreditkarte mit Ratenzahlung 5.000 Euro», «Online Kreditkarte Sofort»; по словам владельца, в CH-связке коллег выплата ~$6 за клик",4400,50,ok,,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,debt consolidation loan,заём на консолидацию долгов,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«должникам / перекредитование»,"DE «Kredit für Verschuldete» — высокий (другие); LT «Paskolos Skolininkams», PL «Kredyt Konsolidacyjny Dla Zadłużonych…» — средний (другие)",33100,0,ok,Meta: зона Personal hardship (долги/нужда) — домен могут ограничить по событиям,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,bill consolidation loan,заём на объединение счетов,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«должникам / перекредитование»,"DE «Kredit für Verschuldete» — высокий (другие); LT «Paskolos Skolininkams», PL «Kredyt Konsolidacyjny Dla Zadłużonych…» — средний (другие)",33100,0,ok,Meta: зона Personal hardship (долги/нужда) — домен могут ограничить по событиям,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
перевод под GB,GB,debt consolidation,консолидация долгов,,,класса нет (в компании никто не зарабатывает на этом ключе); rpc донора — ориентир,«должникам / перекредитование»,"DE «Kredit für Verschuldete» — высокий (другие); LT «Paskolos Skolininkams», PL «Kredyt Konsolidacyjny Dla Zadłużonych…» — средний (другие)",14800,50,ok,Meta: зона Personal hardship (долги/нужда) — домен могут ограничить по событиям,research_keywords GB/en 24.09 (Planner 2026-08); класс — companyKeywords/keywords/all
